School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,499,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,517,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,22778,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,23705,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8540,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8692,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5324,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5354,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,47577,,,Chronically Absent Students,White,Female,,,,
2022-2023,MISSOURI,,,,,814,Chronic absenteeism--Students absent 10% or more school days,49137,,,Chronically Absent Students,White,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5243,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5210,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,126,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,134,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,58,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,63,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,201,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,208,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1983,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1999,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1571,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1471,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,17521,,,Chronically Absent Students,White,Female,,,,
2022-2023,MONTANA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,17970,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1104,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1039,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,781,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,832,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,114,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,109,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4661,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4728,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10435,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10673,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2303,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2267,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15667,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEBRASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15408,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,896,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,942,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2234,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2488,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1580,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1747,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15830,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,16769,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,42634,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,44114,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6444,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6763,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19225,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEVADA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,20251,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,61,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,53,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,434,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,494,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,16,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,26,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,455,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,524,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2653,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2800,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,863,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,758,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15496,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEW HAMPSHIRE,,,,,814,Chronic absenteeism--Students absent 10% or more school days,15856,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,259,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,241,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,5534,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6468,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,196,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,217,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,21446,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,22831,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,42978,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,44811,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3321,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3430,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,31829,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEW JERSEY,,,,,814,Chronic absenteeism--Students absent 10% or more school days,34129,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9616,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9788,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,540,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,529,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,327,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,339,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2091,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2346,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38997,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,39968,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2726,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2633,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10509,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEW MEXICO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11054,,,Chronically Absent Students,White,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4365,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4489,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,26062,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29734,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1187,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1271,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,92001,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,97080,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,160024,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,169500,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14285,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14602,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,115041,,,Chronically Absent Students,White,Female,,,,
2022-2023,NEW YORK,,,,,814,Chronic absenteeism--Students absent 10% or more school days,120188,,,Chronically Absent Students,White,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3404,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3600,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4305,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4842,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,355,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,414,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,64895,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,70488,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,49215,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,51603,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,13754,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14559,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,74050,,,Chronically Absent Students,White,Female,,,,
2022-2023,NORTH CAROLINA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,80741,,,Chronically Absent Students,White,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2114,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2000,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,121,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,124,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,54,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,63,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,979,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1081,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1514,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1381,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,790,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,772,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6676,,,Chronically Absent Students,White,Female,,,,
2022-2023,NORTH DAKOTA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,6398,,,Chronically Absent Students,White,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,479,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,440,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4072,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4334,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,348,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,362,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,69573,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,72777,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,23906,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,25222,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19198,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19327,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,131200,,,Chronically Absent Students,White,Female,,,,
2022-2023,OHIO,,,,,814,Chronic absenteeism--Students absent 10% or more school days,132981,,,Chronically Absent Students,White,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8206,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8367,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,873,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,855,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,641,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,650,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10143,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,10688,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,18853,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,19367,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11086,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11290,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,29510,,,Chronically Absent Students,White,Female,,,,
2022-2023,OKLAHOMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,30455,,,Chronically Absent Students,White,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1790,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1873,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2384,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2447,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1457,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1518,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3213,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3427,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,35264,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,35933,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8598,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8878,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,63009,,,Chronically Absent Students,White,Female,,,,
2022-2023,OREGON,,,,,814,Chronic absenteeism--Students absent 10% or more school days,66822,,,Chronically Absent Students,White,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,431,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,458,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4192,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,4351,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,176,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,177,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,43659,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,44995,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38344,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,40179,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11425,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,11657,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,PENNSYLVANIA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,92788,,,Chronically Absent Students,White,Female,,,,
